Date,Tm,X,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player,RSorPO
1999-03-29,LAL,Home,VAN,W,1,34:00,7,17,0.41,0,1,0,6,6,1,3,0,3,3,3,3,2,2,20,17.4,Kobe Bryant,Regular Season
1999-04-03,LAL,Home,GSW,L,1,39:00,5,15,0.33,0,1,0,7,9,0.78,1,1,2,2,1,0,2,2,17,8.3,Kobe Bryant,Regular Season
1999-04-05,LAL,Home,DEN,W,1,37:00,8,12,0.67,4,4,1,6,7,0.86,1,1,2,3,0,0,0,1,26,23.1,Kobe Bryant,Regular Season
1999-04-06,LAL,Home,UTA,L,1,35:00,6,14,0.43,0,2,0,3,4,0.75,2,0,2,3,0,1,1,3,15,9.2,Kobe Bryant,Regular Season
1999-04-07,LAL,Away,SAC,W,1,42:00,7,18,0.39,0,1,0,4,4,1,0,2,2,7,6,0,8,4,18,10.1,Kobe Bryant,Regular Season
1999-04-09,LAL,Home,MIN,W,1,37:00,7,14,0.5,1,3,0.33,3,4,0.75,2,1,3,7,1,0,1,2,18,16.4,Kobe Bryant,Regular Season
1999-04-11,LAL,Home,SEA,L,1,44:00,8,21,0.38,0,4,0,9,10,0.9,2,3,5,9,1,0,0,6,25,20.3,Kobe Bryant,Regular Season
1999-04-13,LAL,Away,POR,L,1,39:00,7,19,0.37,0,2,0,6,7,0.86,0,0,0,2,0,0,2,1,20,8.1,Kobe Bryant,Regular Season
1999-04-17,LAL,Away,UTA,L,1,42:00,6,16,0.38,2,4,0.5,3,5,0.6,0,5,5,5,0,0,4,2,17,7.6,Kobe Bryant,Regular Season
1999-04-19,LAL,Home,VAN,W,1,36:00,6,11,0.55,0,3,0,5,6,0.83,0,4,4,8,1,0,1,4,17,16.5,Kobe Bryant,Regular Season
1999-04-20,LAL,Away,GSW,W,1,40:00,10,17,0.59,3,4,0.75,4,5,0.8,3,2,5,5,1,3,5,3,27,21.8,Kobe Bryant,Regular Season
1999-04-21,LAL,Away,POR,L,1,45:00,7,15,0.47,2,5,0.4,6,7,0.86,2,4,6,4,2,1,6,4,22,14.4,Kobe Bryant,Regular Season
1999-04-24,LAL,Away,SAS,L,1,38:00,5,14,0.36,0,2,0,1,2,0.5,0,4,4,4,2,1,2,3,11,6.3,Kobe Bryant,Regular Season
1999-04-26,LAL,Away,HOU,L,1,35:00,3,14,0.21,1,3,0.33,2,2,1,1,4,5,2,1,0,1,2,9,2.9,Kobe Bryant,Regular Season
1999-04-29,LAL,Home,POR,W,1,38:00,5,11,0.45,0,2,0,5,6,0.83,0,6,6,7,2,2,6,2,15,12.2,Kobe Bryant,Regular Season
1999-05-02,LAL,Away,SEA,W,1,44:00,12,20,0.6,1,2,0.5,3,4,0.75,2,4,6,4,2,3,3,5,28,22.9,Kobe Bryant,Regular Season
1999-12-01,LAL,Home,GSW,W,0,30:00,7,18,0.39,0,3,0,5,6,0.83,3,3,6,3,0,0,2,4,19,10.3,Kobe Bryant,Regular Season
1999-12-03,LAL,Home,POR,W,0,34:00,6,15,0.4,0,1,0,11,13,0.85,2,6,8,0,2,1,0,4,23,18.4,Kobe Bryant,Regular Season
1999-12-05,LAL,Home,ORL,W,0,26:00,6,12,0.5,2,3,0.67,1,2,0.5,0,3,3,3,1,1,4,2,15,8.5,Kobe Bryant,Regular Season
1999-12-07,LAL,Home,WAS,W,0,31:00,5,13,0.38,0,1,0,11,14,0.79,0,1,1,2,2,0,3,4,21,11.8,Kobe Bryant,Regular Season
1999-12-08,LAL,Away,SAC,L,1,42:00,11,19,0.58,1,2,0.5,4,5,0.8,0,6,6,5,1,0,6,1,27,17.6,Kobe Bryant,Regular Season
1999-12-12,LAL,Home,DET,W,1,35:00,11,24,0.46,0,2,0,4,5,0.8,1,4,5,6,1,1,3,5,26,16,Kobe Bryant,Regular Season
1999-12-14,LAL,Home,LAC,W,1,30:00,5,12,0.42,0,1,0,8,9,0.89,0,3,3,3,2,2,1,1,18,16.2,Kobe Bryant,Regular Season
1999-12-16,LAL,Away,ATL,W,1,41:00,10,19,0.53,0,1,0,10,11,0.91,1,6,7,2,0,1,0,6,30,22.5,Kobe Bryant,Regular Season
1999-12-17,LAL,Away,MIN,W,1,44:00,10,24,0.42,0,2,0,8,9,0.89,3,4,7,12,1,0,4,5,28,21.5,Kobe Bryant,Regular Season
1999-12-20,LAL,Away,BOS,W,1,45:00,9,17,0.53,1,1,1,8,8,1,0,4,4,4,4,0,3,3,27,22.5,Kobe Bryant,Regular Season
1999-12-25,LAL,Home,SAS,W,1,35:00,7,19,0.37,0,1,0,4,5,0.8,0,5,5,5,0,0,4,3,18,6.9,Kobe Bryant,Regular Season
1999-12-27,LAL,Home,DAL,W,1,42:00,10,22,0.45,1,1,1,4,4,1,2,7,9,4,3,0,3,3,25,18.7,Kobe Bryant,Regular Season
2000-01-04,LAL,Away,LAC,W,1,37:00,12,26,0.46,0,1,0,5,7,0.71,5,4,9,2,1,0,4,4,29,16.3,Kobe Bryant,Regular Season
2000-01-05,LAL,Home,LAC,W,1,37:00,11,22,0.5,0,1,0,4,6,0.67,3,7,10,6,1,2,2,3,26,21.8,Kobe Bryant,Regular Season
2000-01-07,LAL,Home,CHH,W,1,36:00,5,19,0.26,1,4,0.25,2,2,1,3,7,10,4,1,0,5,5,13,2.7,Kobe Bryant,Regular Season
2000-01-08,LAL,Away,SEA,W,1,43:00,11,18,0.61,5,7,0.71,4,5,0.8,0,6,6,1,3,1,3,4,31,24,Kobe Bryant,Regular Season
2000-01-10,LAL,Home,DEN,W,1,36:00,12,18,0.67,4,6,0.67,2,2,1,4,3,7,4,4,1,1,2,30,31.6,Kobe Bryant,Regular Season
2000-01-12,LAL,Away,MIL,W,1,43:00,10,19,0.53,0,3,0,2,2,1,2,2,4,5,3,2,3,5,22,17.6,Kobe Bryant,Regular Season
2000-01-14,LAL,Away,IND,L,1,40:00,7,19,0.37,0,1,0,4,4,1,2,5,7,3,0,1,2,6,18,8.8,Kobe Bryant,Regular Season
2000-01-15,LAL,Away,MIN,W,1,40:00,8,18,0.44,2,3,0.67,4,5,0.8,0,3,3,6,1,2,2,4,22,16.1,Kobe Bryant,Regular Season
2000-01-17,LAL,Home,SEA,L,1,42:00,6,18,0.33,0,5,0,3,4,0.75,1,13,14,2,4,0,3,3,15,10.2,Kobe Bryant,Regular Season
